lv,h2,AC,DC,H2 pipeline retrofitted,H2 pipeline
opt,yes,1.96,0.5,1.42,0.97
1,yes,0.9,0.05,1.88,0.96
opt,no,2.11,0.64,0,0
1,no,0.9,0.05,0,0
